date,patients_in,bed_occupancy_rate,beds_occupied,icu_beds,ventilators,doctors,nurses,staff
2023-12-26,19,91.25,91,1,4,10,32,20
2023-12-25,26,51.23,51,9,1,13,25,35
2023-12-24,26,94.9,94,8,3,14,21,32
2023-12-23,12,91.65,91,7,1,14,28,29
2023-12-22,21,96.35,96,9,1,10,36,31
2023-12-21,20,55.6,55,8,4,16,30,38
2023-12-20,26,65.21,65,7,4,13,38,20
2023-12-19,16,81.01,81,5,1,19,21,25
2023-12-18,20,99.18,99,2,1,17,35,36
2023-12-17,10,92.29,92,1,4,16,24,27
2023-12-16,23,88.26,88,5,2,15,21,32
2023-12-15,17,55.19,55,8,1,19,37,39
2023-12-14,14,80.74,80,3,1,17,26,30
2023-12-13,26,61.31,61,9,1,19,22,33
2023-12-12,18,95.79,95,4,2,17,35,34
2023-12-11,16,57.0,57,8,2,18,25,20
2023-12-10,17,52.62,52,5,2,17,34,25
2023-12-09,26,92.98,92,2,1,17,20,30
2023-12-08,26,85.29,85,7,4,10,20,28
2023-12-07,17,93.81,93,2,1,11,22,39
2023-12-06,22,93.79,93,8,1,16,34,20
2023-12-05,20,56.1,56,4,4,15,39,31
2023-12-04,15,50.16,50,2,2,11,28,23
2023-12-03,10,67.1,67,7,2,17,38,31
2023-12-02,24,50.49,50,1,4,15,28,35
2023-12-01,10,93.29,93,1,4,16,35,22
2023-11-30,29,78.36,78,7,4,13,26,22
2023-11-29,28,69.19,69,4,2,13,39,32
2023-11-28,29,62.42,62,3,4,13,25,22
2023-11-27,23,65.08,65,2,4,15,21,29
2023-11-26,29,66.98,66,4,4,17,24,20
2023-11-25,10,71.21,71,5,1,13,31,36
2023-11-24,29,90.24,90,1,1,11,39,35
2023-11-23,14,80.78,80,6,1,17,39,20
2023-11-22,26,71.98,71,3,1,13,31,33
2023-11-21,18,69.6,69,2,1,18,27,27
2023-11-20,19,66.06,66,9,3,18,27,28
2023-11-19,16,74.93,74,3,4,16,20,20
2023-11-18,15,75.47,75,9,3,10,20,35
2023-11-17,13,85.93,85,8,3,19,39,34
2023-11-16,29,54.21,54,4,3,17,27,33
2023-11-15,15,99.44,99,4,1,17,37,29
2023-11-14,13,54.6,54,4,3,13,24,20
2023-11-13,29,97.92,97,8,3,17,37,32
2023-11-12,16,51.33,51,4,2,10,22,28
2023-11-11,17,65.63,65,9,3,19,36,22
2023-11-10,27,66.52,66,2,3,17,36,31
2023-11-09,12,96.5,96,3,1,14,26,27
2023-11-08,13,93.59,93,1,1,18,20,31
2023-11-07,14,73.6,73,2,2,13,32,34
2023-11-06,21,77.74,77,2,2,14,30,31
2023-11-05,29,78.14,78,7,1,10,21,29
2023-11-04,25,90.19,90,2,3,12,34,34
2023-11-03,28,73.53,73,5,1,10,25,32
2023-11-02,20,66.26,66,2,3,12,34,33
2023-11-01,10,52.46,52,4,1,18,23,33
2023-10-31,25,85.37,85,3,2,14,37,23
2023-10-30,28,68.52,68,8,2,19,21,21
2023-10-29,21,68.18,68,8,3,15,26,21
2023-10-28,21,66.78,66,5,1,11,39,37
2023-10-27,24,92.66,92,6,2,13,27,37
2023-10-26,28,71.75,71,3,3,16,31,23
2023-10-25,23,59.01,59,7,2,14,22,31
2023-10-24,14,95.59,95,1,3,18,39,32
2023-10-23,19,91.78,91,6,4,14,21,24
2023-10-22,22,83.05,83,4,2,14,33,22
2023-10-21,29,80.99,80,6,2,12,30,38
2023-10-20,25,52.36,52,5,1,17,39,28
2023-10-19,14,63.05,63,3,4,19,25,22
2023-10-18,19,76.9,76,4,2,13,38,35
2023-10-17,27,58.76,58,3,1,12,39,23
2023-10-16,22,96.46,96,1,4,15,36,28
2023-10-15,29,78.38,78,7,2,10,32,37
2023-10-14,16,99.78,99,9,3,17,36,38
2023-10-13,10,89.78,89,2,3,13,37,24
2023-10-12,12,99.79,99,9,3,15,23,27
2023-10-11,10,63.81,63,2,3,13,32,35
2023-10-10,17,54.09,54,9,3,18,30,28
2023-10-09,26,90.0,89,7,3,10,26,34
2023-10-08,23,72.52,72,9,4,19,32,28
2023-10-07,12,85.44,85,7,1,15,37,32
2023-10-06,21,64.61,64,4,3,15,25,30
2023-10-05,12,94.82,94,2,2,14,22,20
2023-10-04,14,99.1,99,1,1,15,33,35
2023-10-03,23,61.18,61,1,2,10,31,36
2023-10-02,21,81.72,81,7,4,19,34,36
2023-10-01,25,61.63,61,9,1,10,28,32
2023-09-30,22,52.62,52,9,4,12,23,37
2023-09-29,16,91.22,91,4,4,19,32,32
2023-09-28,26,58.28,58,7,2,12,37,21
2023-09-27,14,62.19,62,2,1,12,31,37
2023-09-26,28,88.17,88,3,4,18,22,36
2023-09-25,23,93.29,93,9,1,18,20,30
2023-09-24,26,97.21,97,7,4,19,36,30
2023-09-23,26,52.5,52,8,1,14,31,23
2023-09-22,27,92.8,92,3,2,17,38,35
2023-09-21,13,95.3,95,9,1,19,25,36
2023-09-20,25,53.09,53,3,1,18,28,22
2023-09-19,14,81.85,81,3,1,11,24,31
2023-09-18,13,81.92,81,8,3,16,35,32
2023-09-17,24,99.6,99,5,4,19,30,23
2023-09-16,23,51.9,51,6,2,18,26,33
2023-09-15,18,59.12,59,4,2,14,39,20
2023-09-14,14,64.68,64,3,2,13,30,26
2023-09-13,14,86.55,86,6,4,19,25,28
2023-09-12,24,58.54,58,6,2,12,21,29
2023-09-11,17,75.01,75,5,4,11,23,33
2023-09-10,11,98.72,98,3,1,13,38,32
2023-09-09,27,84.92,84,8,3,14,31,31
2023-09-08,28,85.39,85,2,3,19,29,32
2023-09-07,18,79.13,79,3,1,10,26,39
2023-09-06,14,98.81,98,4,1,10,27,28
2023-09-05,11,93.37,93,1,1,19,35,33
2023-09-04,16,72.94,72,4,3,11,39,30
2023-09-03,10,74.45,74,1,1,14,37,26
2023-09-02,20,82.68,82,4,4,10,39,39
2023-09-01,26,81.29,81,2,2,11,21,24
2023-08-31,25,72.18,72,2,3,12,27,36
2023-08-30,15,66.22,66,4,2,19,26,22
2023-08-29,23,89.28,89,1,1,18,20,33
2023-08-28,28,85.6,85,9,2,15,32,28
2023-08-27,11,59.66,59,3,1,14,30,21
2023-08-26,17,76.8,76,1,3,11,39,35
2023-08-25,26,89.54,89,3,2,13,33,30
2023-08-24,26,90.56,90,9,1,14,21,32
2023-08-23,23,87.05,87,5,3,10,31,21
2023-08-22,15,98.99,98,7,1,18,36,35
2023-08-21,25,54.99,54,6,2,16,38,26
2023-08-20,10,54.62,54,1,1,18,22,20
2023-08-19,27,74.43,74,9,1,19,32,21
2023-08-18,27,57.93,57,5,2,16,23,30
2023-08-17,23,54.4,54,1,1,15,26,23
2023-08-16,25,82.89,82,1,1,16,25,30
2023-08-15,29,53.77,53,7,2,12,36,21
2023-08-14,24,98.85,98,9,2,14,22,33
2023-08-13,27,98.6,98,7,3,17,27,30
2023-08-12,16,53.52,53,4,2,19,36,35
2023-08-11,11,50.94,50,6,1,11,36,28
2023-08-10,14,86.16,86,8,1,11,35,33
2023-08-09,12,83.63,83,8,4,13,25,25
2023-08-08,23,61.78,61,8,2,19,32,27
2023-08-07,13,71.73,71,1,2,17,23,38
2023-08-06,20,54.83,54,7,1,14,35,33
2023-08-05,13,58.68,58,7,2,15,35,27
2023-08-04,10,60.96,60,8,2,17,20,29
2023-08-03,15,75.36,75,6,3,17,24,22
2023-08-02,18,63.26,63,5,1,18,31,26
2023-08-01,19,77.09,77,5,1,14,23,31
2023-07-31,12,60.53,60,8,3,16,22,28
2023-07-30,24,57.67,57,3,3,19,35,30
2023-07-29,11,95.33,95,3,1,18,21,28
2023-07-28,14,77.57,77,9,2,16,37,29
2023-07-27,25,87.84,87,6,2,15,37,22
2023-07-26,23,79.81,79,1,2,17,25,32
2023-07-25,20,92.51,92,3,3,10,31,36
2023-07-24,24,68.45,68,8,3,10,35,30
2023-07-23,28,51.76,51,2,3,12,39,24
2023-07-22,13,52.63,52,1,3,14,38,37
2023-07-21,14,87.34,87,4,1,18,36,26
2023-07-20,19,84.37,84,9,4,19,22,29
2023-07-19,29,96.19,96,9,2,13,30,36
2023-07-18,21,88.86,88,4,1,14,31,26
2023-07-17,16,64.66,64,6,3,19,39,27
2023-07-16,11,93.01,93,8,4,11,38,33
2023-07-15,18,98.82,98,5,4,15,32,24
2023-07-14,17,68.6,68,2,4,18,37,32
2023-07-13,13,62.93,62,2,1,13,38,25
2023-07-12,13,87.21,87,3,2,12,25,23
2023-07-11,22,99.01,99,4,3,17,38,26
2023-07-10,14,63.67,63,3,1,11,23,24
2023-07-09,13,58.01,58,4,4,16,27,25
2023-07-08,24,57.45,57,2,3,11,21,33
2023-07-07,14,51.99,51,4,3,18,26,31
2023-07-06,12,69.34,69,8,1,19,28,26
2023-07-05,26,95.15,95,4,4,11,21,23
2023-07-04,18,81.2,81,9,4,10,37,21
2023-07-03,22,83.02,83,6,4,16,23,20
2023-07-02,19,83.65,83,9,3,16,31,30
2023-07-01,21,55.67,55,3,2,17,31,25
2023-06-30,12,95.4,95,1,1,13,24,27
2023-06-29,26,98.78,98,2,3,10,35,28
2023-06-28,25,82.59,82,6,1,18,27,26
2023-06-27,22,50.15,50,3,1,19,36,30
2023-06-26,24,91.05,91,2,4,19,34,22
2023-06-25,10,66.73,66,3,2,18,38,36
2023-06-24,11,62.25,62,1,2,11,32,27
2023-06-23,26,71.05,71,4,4,16,28,23
2023-06-22,12,53.71,53,7,4,12,20,24
2023-06-21,13,86.56,86,3,4,18,38,27
2023-06-20,22,92.78,92,3,1,12,32,24
2023-06-19,14,75.63,75,9,3,14,36,38
2023-06-18,19,98.9,98,4,4,17,33,30
2023-06-17,17,58.04,58,3,1,10,39,33
2023-06-16,26,72.62,72,7,1,18,35,37
2023-06-15,16,60.8,60,9,1,13,23,33
2023-06-14,26,96.12,96,9,2,12,36,34
2023-06-13,19,58.05,58,3,3,12,30,23
2023-06-12,28,94.7,94,2,3,13,36,34
2023-06-11,25,76.57,76,8,1,18,23,34
2023-06-10,19,95.47,95,5,4,18,25,23
2023-06-09,11,59.93,59,1,2,12,22,29
2023-06-08,24,71.27,71,7,4,15,29,24
2023-06-07,21,85.72,85,3,2,12,23,33
2023-06-06,23,78.98,78,7,3,15,29,38
2023-06-05,22,80.32,80,1,1,11,32,32
2023-06-04,24,91.73,91,3,4,11,22,22
2023-06-03,10,81.52,81,7,3,15,39,22
2023-06-02,28,83.96,83,1,1,16,31,30
2023-06-01,26,72.89,72,4,4,18,33,32
2023-05-31,25,76.1,76,3,1,15,24,29
2023-05-30,16,64.36,64,5,4,13,33,20
2023-05-29,28,61.6,61,3,1,11,39,24
2023-05-28,19,78.12,78,8,2,13,21,35
2023-05-27,15,88.28,88,5,4,16,28,21
2023-05-26,27,55.18,55,6,2,14,21,37
2023-05-25,23,53.64,53,1,3,17,31,39
2023-05-24,13,50.9,50,5,4,12,34,37
2023-05-23,11,96.24,96,2,4,19,24,30
2023-05-22,22,58.06,58,9,1,15,29,38
2023-05-21,19,58.51,58,7,2,17,33,35
2023-05-20,20,92.93,92,7,1,11,35,21
2023-05-19,24,82.49,82,6,3,13,30,31
2023-05-18,15,61.31,61,6,2,14,32,32
2023-05-17,26,91.46,91,7,2,15,21,30
2023-05-16,20,95.09,95,6,4,17,27,34
2023-05-15,17,78.32,78,6,3,10,22,30
2023-05-14,20,61.18,61,9,2,18,23,29
2023-05-13,22,88.97,88,4,2,17,33,39
2023-05-12,13,56.37,56,1,3,10,31,36
2023-05-11,26,98.08,98,9,3,15,34,27
2023-05-10,21,54.68,54,2,3,16,39,21
2023-05-09,17,78.58,78,8,1,10,32,20
2023-05-08,14,80.8,80,8,3,11,36,34
2023-05-07,23,75.6,75,3,4,12,24,23
2023-05-06,23,78.91,78,3,4,11,27,27
2023-05-05,18,64.7,64,9,4,16,25,33
